radiance: ['-243.78', '-91.97', '-66.55']
elements: ['-758.02', '-8.98', '-246.11']
expeditious: ['-9.59', '-274.59', '-360.28']
dust: ['-195.35', '-15.34', '-781.65']
bow: ['-531.69', '-322.95', '-4.55']
break: ['-907.59', '-960.01', '-0.02']
erupting: ['-25.09', '-432.83', '-156.67']
stun: ['-574.17', '-14.68', '-201.52']
wave: ['-82.58', '-315.15', '-65.53']
sliver: ['-225.10', '-440.67', '-12.50']
hunter: ['-21.23', '-802.24', '-165.58']
good: ['-55.86', '-84.87', '-1541.03']
purify: ['-2.40', '-642.56', '-381.17']
dissonant: ['-12.62', '-413.50', '-227.74']
stop: ['-297.46', '-1038.81', '-5.25']
enervation: ['-165.70', '-108.84', '-74.96']
acid: ['-472.72', '-0.94', '-764.88']
storm: ['-78.56', '-390.86', '-64.61']
guardians: ['-77.08', '-178.92', '-99.36']
madness: ['-155.74', '-29.51', '-310.35']
fiend: ['-532.05', '-9.34', '-247.36']
aura: ['-73.77', '-182.13', '-102.17']
transmute: ['-9.85', '-409.71', '-256.12']
cloud: ['-115.34', '-130.10', '-88.63']
heat: ['-6.48', '-278.58', '-684.72']
false: ['-8.21', '-254.32', '-836.15']
seeming: ['-138.89', '-139.07', '-68.96']
tree: ['-1371.36', '-14.88', '-197.88']
blur: ['-135.32', '-64.50', '-152.83']
breathing: ['-226.32', '-183.90', '-30.52']
psychic: ['-85.97', '-57.79', '-415.57']
person: ['-597.14', '-3.56', '-342.81']
geas: ['-165.70', '-108.84', '-74.96']
distort: ['-2.05', '-411.94', '-551.75']
fear: ['-754.30', '-3.07', '-351.73']
mind: ['-70.85', '-71.39', '-402.30']
barrier: ['-550.50', '-460.95', '-1.41']
sword: ['-480.40', '-96.50', '-49.30']
enhance: ['-1.22', '-441.63', '-1121.20']
transference: ['-163.31', '-675.13', '-21.88']
familiar: ['-147.81', '-52.51', '-171.23']
homunculus: ['-342.94', '-3.45', '-646.93']
nature: ['-1597.13', '-0.02', '-869.82']
bane: ['-207.89', '-284.50', '-20.24']
repose: ['-280.76', '-226.43', '-17.94']
alter: ['-11.78', '-220.43', '-711.43']
barrage: ['-450.47', '-87.98', '-55.50']
astral: ['-12.28', '-219.00', '-561.65']
detection: ['-173.60', '-82.38', '-95.45']
thunderous: ['-114.27', '-63.86', '-187.73']
whispers: ['-227.42', '-331.22', '-15.00']
disguise: ['-100.71', '-225.71', '-63.47']
feeblemind: ['-165.70', '-108.84', '-74.96']
strider: ['-809.06', '-200.38', '-14.52']
compelling: ['-0.41', '-745.34', '-566.17']
vitriolic: ['-51.02', '-175.33', '-148.54']
emotions: ['-1297.22', '-1.10', '-451.44']
vitriol: ['-326.47', '-5.75', '-403.38']
remove: ['-1.25', '-441.59', '-791.81']
magnify: ['-12.86', '-355.83', '-238.39']
hand(s: ['-165.70', '-108.84', '-74.96']
hound: ['-816.93', '-0.03', '-1246.24']
healing: ['-27.03', '-168.54', '-296.71']
primal: ['-7.88', '-258.01', '-1028.71']
dream: ['-186.56', '-108.57', '-67.82']
self: ['-716.13', '-2.60', '-369.52']
prayer: ['-13.87', '-212.58', '-459.04']
raise: ['-0.57', '-516.52', '-1543.00']
alacrity: ['-149.77', '-31.64', '-304.51']
drink: ['-389.70', '-112.43', '-42.34']
blight: ['-339.65', '-3.63', '-616.06']
mirror: ['-39.18', '-225.06', '-151.96']
blade: ['-532.70', '-80.32', '-60.29']
earth: ['-801.09', '-0.29', '-597.84']
holy: ['-235.05', '-25.16', '-206.28']
prestidigitation: ['-278.77', '-8.11', '-411.48']
scrying: ['-883.74', '-4.53', '-312.07']
movement: ['-434.46', '-66.14', '-75.31']
illusory: ['-64.41', '-104.70', '-208.84']
antimagic: ['-165.70', '-108.84', '-74.96']
delayed: ['-28.61', '-195.99', '-222.59']
flaming: ['-68.92', '-76.49', '-342.14']
lure: ['-0.68', '-754.94', '-506.96']
form: ['-465.65', '-194.98', '-16.46']
eye: ['-263.30', '-388.67', '-9.69']
seeing: ['-147.51', '-87.75', '-103.44']
resurrection: ['-208.17', '-13.82', '-544.38']
tiny: ['-1.43', '-425.83', '-1230.11']
mighty: ['-25.91', '-151.95', '-466.49']
lesser: ['-59.27', '-80.48', '-1534.18']
guards: ['-399.14', '-227.75', '-12.90']
bubble: ['-174.54', '-140.45', '-54.48']
sequester: ['-651.38', '-1.66', '-420.09']
greed: ['-100.19', '-48.26', '-415.83']
knife: ['-666.22', '-439.24', '-1.37']
killer: ['-182.33', '-651.40', '-17.79']
dispel: ['-2.24', '-381.25', '-965.89']
polymorph: ['-706.85', '-0.17', '-705.26']
dark: ['-46.17', '-100.32', '-577.60']
walk: ['-940.56', '-353.14', '-2.98']
regenerate: ['-0.46', '-538.54', '-1805.04']
sanctuary: ['-60.89', '-111.56', '-205.32']
language(s: ['-709.18', '-0.66', '-515.37']
weird: ['-267.14', '-7.19', '-848.18']
missile: ['-808.11', '-225.50', '-11.11']
major: ['-2.65', '-1174.19', '-364.57']
script: ['-504.55', '-397.84', '-2.55']
ray: ['-80.88', '-582.92', '-59.48']
whip: ['-322.17', '-490.45', '-4.85']
thaumaturgy: ['-165.70', '-108.84', '-74.96']
moon: ['-1435.72', '-23.33', '-156.99']
ability: ['-585.67', '-81.12', '-59.27']
private: ['-0.07', '-780.35', '-801.51']
sunbeam: ['-1495.79', '-56.27', '-84.32']
