incendiary: ['98.76', '0.67', '0.56']
phantasmal: ['89.37', '4.99', '5.64']
spell: ['0.57', '89.05', '10.38']
breathing: ['10.40', '15.90', '73.70']
ball: ['0.00', '36.80', '63.20']
delayed: ['75.12', '14.09', '10.80']
emotions: ['0.00', '98.90', '1.10']
binding: ['48.00', '3.33', '48.67']
heat: ['93.73', '6.17', '0.11']
bones: ['96.60', '3.33', '0.06']
purify: ['97.63', '0.16', '2.21']
feign: ['96.86', '2.43', '0.72']
scatter: ['99.07', '0.92', '0.00']
immunity: ['4.44', '7.85', '87.72']
illusory: ['52.51', '35.10', '12.39']
enhance: ['98.79', '1.21', '0.00']
hallucinatory: ['73.87', '17.14', '8.99']
pain: ['0.00', '85.16', '14.84']
killer: ['16.15', '0.15', '83.70']
strike: ['41.17', '1.60', '57.23']
unseen: ['85.59', '2.70', '11.71']
lure: ['99.32', '0.05', '0.63']
fiend: ['0.49', '91.08', '8.43']
food: ['0.70', '40.14', '59.16']
banishment: ['0.02', '98.57', '1.41']
polymorph: ['0.09', '99.83', '0.09']
static: ['1.15', '98.85', '0.01']
reduce: ['99.40', '0.60', '0.00']
hand(s: ['19.07', '33.67', '47.25']
grasping: ['44.22', '2.95', '52.83']
arrow(s: ['19.07', '33.67', '47.25']
sickness: ['0.53', '99.11', '0.36']
undead: ['2.28', '93.44', '4.28']
madness: ['21.07', '74.44', '4.49']
burning: ['50.20', '46.54', '3.27']
project: ['84.75', '0.82', '14.42']
savagery: ['56.42', '10.82', '32.76']
harm: ['0.01', '99.99', '0.00']
greater: ['70.14', '29.86', '0.00']
monster: ['20.32', '73.02', '6.66']
warding: ['47.85', '46.87', '5.28']
darkness: ['1.52', '69.67', '28.81']
teleportation: ['20.16', '51.20', '28.64']
ally: ['0.24', '7.02', '92.74']
snowball: ['0.00', '99.41', '0.58']
telekinesis: ['42.33', '56.11', '1.57']
vengeance: ['32.31', '65.15', '2.54']
strider: ['0.03', '13.48', '86.49']
distort: ['97.97', '1.63', '0.40']
shocking: ['74.68', '22.83', '2.49']
field: ['0.05', '22.41', '77.54']
wall: ['30.71', '23.25', '46.04']
eldritch: ['20.32', '73.02', '6.66']
maze: ['6.38', '37.86', '55.76']
steed: ['0.04', '96.32', '3.64']
mirror: ['67.59', '10.53', '21.88']
swarm: ['0.20', '12.28', '87.52']
prison: ['0.04', '5.91', '94.04']
raise: ['99.43', '0.57', '0.00']
reincarnation: ['12.47', '87.10', '0.43']
shape: ['66.12', '14.70', '19.18']
zone: ['81.90', '1.44', '16.66']
lore: ['22.69', '16.42', '60.89']
mold: ['75.31', '5.01', '19.69']
sphere: ['15.77', '0.08', '84.15']
cage: ['0.00', '0.02', '99.97']
magnificent: ['98.44', '0.07', '1.49']
withering: ['16.44', '70.69', '12.87']
remove: ['98.76', '1.21', '0.04']
mark: ['50.12', '1.02', '48.87']
transformation: ['1.50', '28.69', '69.80']
bonfire: ['0.01', '95.01', '4.97']
cure: ['98.77', '0.97', '0.25']
chest: ['0.12', '0.00', '99.88']
spare: ['99.23', '0.77', '0.00']
faith: ['7.18', '92.79', '0.03']
meld: ['92.61', '0.40', '6.99']
gods: ['5.34', '94.36', '0.31']
celestial: ['26.57', '72.30', '1.13']
plant(s: ['19.07', '33.67', '47.25']
wish: ['0.00', '100.00', '0.00']
sinkhole: ['0.00', '0.00', '100.00']
toll: ['93.44', '5.85', '0.71']
tongues: ['32.57', '48.43', '19.00']
laughter: ['1.08', '98.50', '0.42']
invulnerability: ['0.02', '82.29', '17.69']
good: ['57.20', '42.80', '0.00']
hail: ['30.01', '9.27', '60.72']
healing: ['76.32', '18.54', '5.15']
aberration: ['0.65', '98.70', '0.65']
crown: ['81.81', '7.48', '10.70']
nature: ['0.00', '99.98', '0.02']
swift: ['97.55', '0.01', '2.44']
antipathy: ['8.23', '69.53', '22.24']
heroism: ['33.43', '58.08', '8.49']
awakening: ['1.08', '80.70', '18.23']
misleading: ['85.16', '14.83', '0.01']
tremor: ['6.12', '19.38', '74.50']
thunderous: ['31.90', '52.80', '15.30']
shock: ['0.21', '76.04', '23.75']
faithful: ['79.85', '20.04', '0.11']
shatter: ['98.16', '0.20', '1.64']
health: ['0.00', '100.00', '0.00']
incineration: ['8.93', '76.10', '14.98']
life: ['0.02', '94.12', '5.86']
thaumaturgy: ['19.07', '33.67', '47.25']
vivification: ['19.07', '33.67', '47.25']
blur: ['25.84', '52.47', '21.69']
hand: ['95.07', '2.00', '2.93']
command: ['85.12', '1.28', '13.60']
soul: ['12.51', '87.49', '0.00']
insect: ['15.44', '84.44', '0.11']
self: ['0.08', '97.44', '2.48']
scrying: ['0.01', '95.57', '4.41']
web: ['0.78', '99.04', '0.18']
blooming: ['1.23', '88.25', '10.52']
heal: ['10.26', '88.98', '0.76']
symbol: ['2.02', '5.60', '92.38']
speak: ['79.62', '18.44', '1.94']
language(s: ['0.08', '99.34', '0.58']
memory: ['1.44', '49.63', '48.92']
earth: ['0.03', '99.71', '0.25']
shield: ['45.58', '15.71', '38.71']
alter: ['88.89', '11.03', '0.08']
radiance: ['8.73', '39.87', '51.40']
tentacles: ['22.64', '65.66', '11.69']
bolt: ['0.30', '14.64', '85.05']
glibness: ['0.85', '95.10', '4.05']
